char,x,y,width,height,char_idx_in_line,line_idx,page,word
h,92.0,219,13.0,21,19,0,page_1_practice,the
e,105.0,219,13.0,21,20,0,page_1_practice,the
 ,118.0,219,13.0,21,21,0,page_1_practice,
b,131.0,219,13.0,21,22,0,page_1_practice,best
e,144.0,219,13.0,21,23,0,page_1_practice,best
s,157.0,219,13.0,21,24,0,page_1_practice,best
t,170.0,219,13.0,21,25,0,page_1_practice,best
 ,183.0,219,13.0,21,26,0,page_1_practice,
t,196.0,219,13.0,21,27,0,page_1_practice,tech
e,209.0,219,13.0,21,28,0,page_1_practice,tech
c,222.0,219,13.0,21,29,0,page_1_practice,tech
h,235.0,219,13.0,21,30,0,page_1_practice,tech
 ,248.0,219,13.0,21,31,0,page_1_practice,
d,261.0,219,13.0,21,32,0,page_1_practice,"deals,"
e,274.0,219,13.0,21,33,0,page_1_practice,"deals,"
a,287.0,219,13.0,21,34,0,page_1_practice,"deals,"
l,300.0,219,13.0,21,35,0,page_1_practice,"deals,"
s,313.0,219,13.0,21,36,0,page_1_practice,"deals,"
",",326.0,219,13.0,21,37,0,page_1_practice,"deals,"
 ,339.0,219,13.0,21,38,0,page_1_practice,
h,352.0,219,13.0,21,39,0,page_1_practice,helping
e,365.0,219,13.0,21,40,0,page_1_practice,helping
l,378.0,219,13.0,21,41,0,page_1_practice,helping
p,391.0,219,13.0,21,42,0,page_1_practice,helping
i,404.0,219,13.0,21,43,0,page_1_practice,helping
n,417.0,219,13.0,21,44,0,page_1_practice,helping
g,430.0,219,13.0,21,45,0,page_1_practice,helping
 ,443.0,219,13.0,21,46,0,page_1_practice,
p,456.0,219,13.0,21,47,0,page_1_practice,people
e,469.0,219,13.0,21,48,0,page_1_practice,people
o,482.0,219,13.0,21,49,0,page_1_practice,people
p,495.0,219,13.0,21,50,0,page_1_practice,people
l,508.0,219,13.0,21,51,0,page_1_practice,people
e,521.0,219,13.0,21,52,0,page_1_practice,people
 ,534.0,219,13.0,21,53,0,page_1_practice,
m,547.0,219,13.0,21,54,0,page_1_practice,make
a,560.0,219,13.0,21,55,0,page_1_practice,make
k,573.0,219,13.0,21,56,0,page_1_practice,make
e,586.0,219,13.0,21,57,0,page_1_practice,make
 ,599.0,219,13.0,21,58,0,page_1_practice,
t,612.0,219,13.0,21,59,0,page_1_practice,the
h,625.0,219,13.0,21,60,0,page_1_practice,the
e,638.0,219,13.0,21,61,0,page_1_practice,the
 ,651.0,219,13.0,21,62,0,page_1_practice,
b,664.0,219,13.0,21,63,0,page_1_practice,best
e,677.0,219,13.0,21,64,0,page_1_practice,best
s,690.0,219,13.0,21,65,0,page_1_practice,best
t,703.0,219,13.0,21,66,0,page_1_practice,best
 ,716.0,219,13.0,21,67,0,page_1_practice,
g,729.0,219,13.0,21,68,0,page_1_practice,gadget
a,742.0,219,13.0,21,69,0,page_1_practice,gadget
d,755.0,219,13.0,21,70,0,page_1_practice,gadget
g,768.0,219,13.0,21,71,0,page_1_practice,gadget
e,781.0,219,13.0,21,72,0,page_1_practice,gadget
t,794.0,219,13.0,21,73,0,page_1_practice,gadget
 ,807.0,219,13.0,21,74,0,page_1_practice,
p,820.0,219,13.0,21,75,0,page_1_practice,purchases
u,833.0,219,13.0,21,76,0,page_1_practice,purchases
r,846.0,219,13.0,21,77,0,page_1_practice,purchases
c,859.0,219,13.0,21,78,0,page_1_practice,purchases
h,872.0,219,13.0,21,79,0,page_1_practice,purchases
a,885.0,219,13.0,21,80,0,page_1_practice,purchases
s,898.0,219,13.0,21,81,0,page_1_practice,purchases
e,911.0,219,13.0,21,82,0,page_1_practice,purchases
s,924.0,219,13.0,21,83,0,page_1_practice,purchases
 ,937.0,219,13.0,21,84,0,page_1_practice,
a,950.0,219,13.0,21,85,0,page_1_practice,according
c,963.0,219,13.0,21,86,0,page_1_practice,according
c,976.0,219,13.0,21,87,0,page_1_practice,according
o,989.0,219,13.0,21,88,0,page_1_practice,according
r,1002.0,219,13.0,21,89,0,page_1_practice,according
d,1015.0,219,13.0,21,90,0,page_1_practice,according
i,1028.0,219,13.0,21,91,0,page_1_practice,according
n,1041.0,219,13.0,21,92,0,page_1_practice,according
g,1054.0,219,13.0,21,93,0,page_1_practice,according
 ,1067.0,219,13.0,21,94,0,page_1_practice,
t,1080.0,219,13.0,21,95,0,page_1_practice,to
o,1093.0,219,13.0,21,96,0,page_1_practice,to
 ,1106.0,219,13.0,21,97,0,page_1_practice,
t,1119.0,219,13.0,21,98,0,page_1_practice,their
h,1132.0,219,13.0,21,99,0,page_1_practice,their
e,1145.0,219,13.0,21,100,0,page_1_practice,their
i,1158.0,219,13.0,21,101,0,page_1_practice,their
r,1171.0,219,13.0,21,102,0,page_1_practice,their
 ,1184.0,219,13.0,21,103,0,page_1_practice,
n,1197.0,219,13.0,21,104,0,page_1_practice,needs.
e,1210.0,219,13.0,21,105,0,page_1_practice,needs.
e,1223.0,219,13.0,21,106,0,page_1_practice,needs.
d,1236.0,219,13.0,21,107,0,page_1_practice,needs.
